catalog	PPM
equinox	2000.0
epoch	2000.0
rpmunit	tsec/century
dpmunit	arcsec/century
catsort	mag
program	sppm 2.9.4, 25 June 2001, Doug Mink SAO
ppm_id	ra      	dec      	mag	type	Ura    	Udec  
------	------------	------------	-----	----	-------	------
001000	06:07:16.152	+82:49:22.05	10.60	F0	 -0.330	 -2.80
011000	21:52:17.032	+78:20:14.06	9.30	A2	  0.370	  0.40
021000	18:36:18.885	+62:09:09.32	8.50	F0	  0.240	  3.70
031000	07:14:15.244	+55:15:08.56	9.60	G5	  1.830	 -2.90
041000	22:43:15.517	+56:24:29.83	7.30	F0	  1.220	  3.60
051000	09:04:26.716	+46:14:54.34	10.10	G0	 -0.270	 -1.40
061000	21:08:05.276	+46:26:24.36	9.00	G5	  0.160	  0.70
071000	05:54:52.164	+36:14:55.11	8.60	K0	  0.000	  0.40
081000	18:09:30.312	+39:04:47.90	10.20	K0	 -0.040	  1.00
091000	01:41:28.891	+24:11:00.43	8.90	F8	  0.040	 -2.50
101000	11:14:33.151	+25:42:37.40	8.40	K0	 -0.810	  5.10
111000	20:22:20.426	+29:05:26.63	8.20	F5	  0.240	  2.60
121000	05:28:54.162	+19:38:52.83	9.60	F8	 -0.010	 -3.20
131000	14:56:48.286	+16:19:43.68	10.80	G5	 -0.070	 -0.40
141000	22:03:08.261	+15:31:45.08	10.70	K5	 -0.130	  1.00
151000	06:39:58.468	+08:32:14.77	9.50	K0	 -0.130	 -3.50
161000	14:49:37.677	+04:42:51.53	9.80	F8	 -0.080	  1.30
171000	20:56:32.845	+08:50:09.21	9.90	M2	 -0.010	 -1.00
181000	20:28:52.459	-00:16:27.06	9.80	F8	 -0.070	 -2.30
191000	08:07:12.918	-06:28:36.23	9.30	F2	 -0.080	 -0.40
201000	17:44:55.235	-04:57:00.15	9.50	K0	 -0.430	-18.50
211000	02:03:34.259	-15:28:28.29	8.90	G5	  0.760	 23.40
221000	09:03:48.851	-17:33:44.88	8.90	K5	 -0.160	 -0.50
231000	15:57:10.068	-15:39:09.97	9.40	__	 -0.010	 -0.80
241000	22:58:36.448	-16:27:12.51	9.80	__	  0.070	 -1.20
251000	06:47:21.171	-24:56:47.77	9.50	K0	  0.080	 -0.50
261000	12:55:44.424	-28:05:31.80	9.60	__	 -0.300	 -0.10
271000	20:20:27.030	-25:12:52.32	8.40	G0	  0.590	-10.80
281000	05:03:44.906	-31:58:44.10	9.60	G5	  0.040	 -0.70
291000	13:07:37.418	-33:08:58.78	9.40	K0	 -0.220	 -0.40
301000	21:06:35.330	-30:58:51.16	10.20	__	 -0.150	  0.20
